"dyad","Person","sexm","conflict","relstressA","esteem","p_conflict","p_relstressA","p_esteem"
3,503,"men",1.4,0.2,5,3.4,NA,NA
4,504,"men",0.6,0,4,2.6,0.1,2.5
5,505,"men",1.6,0.2,4,0.8,0.9,5
7,507,"men",4.4,0.8,5,2.2,0.2,2.5
8,508,"men",1.2,0.5,4,1.2,0.2,4.5
10,510,"men",3,0.8,2.5,1.6,0,4.5
11,511,"men",1.4,0.1,5,2.6,1.1,3.5
12,512,"men",1.4,0.9,5,2,0.1,3
13,513,"men",3.2,1.4,4,1.6,0,3.5
14,514,"men",0.6,0.3,5,2.8,0.8,5
16,516,"men",3.8,1.4,5,2.2,0,4
17,517,"men",0.8,0.1,4.5,2.4,NA,NA
18,518,"men",1.8,0.5,3,2.4,0.7777778,4
19,519,"men",0.6,0,5,1.4,0.3,3
20,520,"men",1.4,0.4,NA,1.4,0.1,4.5
21,521,"men",2.6,1.333333,2,4.4,2.1,3
22,522,"men",2.4,0.7,3.5,4.2,2,2.5
23,523,"men",2.4,0,5,0.4,0.1,2.5
24,524,"men",4.2,1.7,3,1.4,0.7,5
26,526,"men",1.4,0.8,4,2.6,0.6666667,4
27,527,"men",2.2,1.2,4,0.8,0,5
28,528,"men",2.6,1.6,4,0.6,0,4.5
29,529,"men",2.2,0.6,3,2.4,0.2222222,4
31,531,"men",0.4,0,4,0.2,0,2.5
32,532,"men",2.6,1.3,4,3.8,1.4,3
33,533,"men",1.4,0,5,2.4,0.8888889,4
34,534,"men",2.6,0.7,3,2.2,0.8,4
35,535,"men",3.6,1.2,3.5,2,0.6,4
36,536,"men",2.2,0.8,4.5,1,0.7,3.5
37,537,"men",1.8,0.2,5,1.6,0.4,3.5
38,538,"men",1.4,0.2,3,3.6,1.8,4
39,539,"men",2.2,0.8,5,1.4,0,3
40,540,"men",2.4,0.9,3.5,3.8,0.4,2.5
41,541,"men",2.4,1.1,4,1.6,0.1,3.5
42,542,"men",0.6,0,4.5,3,0.5,1.5
43,543,"men",2.6,0.7,4,1.6,0.4,1.5
44,544,"men",1.4,0.2,5,1,0.3,3
45,545,"men",2.6,1.555556,3.5,3,1.2,2.5
46,546,"men",3.4,2.166667,3,2.2,0.2,4.5
47,547,"men",1.8,1.2,3.5,2.4,NA,4
49,549,"men",4,2.2,3,1.8,0.3,2.5
50,550,"men",0.8,0.5,5,1.8,0.9,3
51,551,"men",0.2,0,5,1.2,0.4,3.5
53,553,"men",1.2,0.4,4,1,0.4,5
55,555,"men",1,0.2,3,2.6,0.5,3
56,556,"men",1.4,0,2,3.8,0.1,3
57,557,"men",1,0,4.5,2.4,0.2,4.5
58,558,"men",3.4,1.4,4,1,0.3,3.5
60,560,"men",1.8,0.4,4.5,2.4,0.7,3
63,563,"men",1.4,0,4.5,3.4,0.9,2.5
64,564,"men",1.2,0.4,3,0.8,0.2,4
65,565,"men",0.8,0,4,1.2,0,3.5
66,566,"men",2.4,1.3,3.5,2.8,0.3,3
67,567,"men",1.6,0.5,4,0.6,0,3.5
68,568,"men",0.8,0.3,4,2,0,5
69,569,"men",3,0.4,3.5,3.2,0.7,5
70,570,"men",1,0.3,5,2.8,NA,NA
72,572,"men",1.4,0,5,1,0.3,5
73,573,"men",2,0.4,4.5,4.5,0.8,2.5
75,575,"men",1.4,0.6,3.5,2.4,2.1,3.5
76,576,"men",2.6,1.2,3.5,2.4,0.6,4
77,577,"men",2.2,0.8,4.5,1,0.4,3
78,578,"men",1.2,0.4,5,0.4,0.3,4.5
79,579,"men",3,0,2.5,2,0.1,3
80,580,"men",1.6,0.3,2.5,NA,1.2,2.5
81,581,"men",1.6,0.2,1.5,4.2,0.9,3
82,582,"men",3.2,1.5,3.5,2.2,0.875,3
83,583,"men",5.8,2.6,4,0.8,0.1,4
84,584,"men",1,0.4,5,1.4,1.1,3.5
85,585,"men",1,0.7,5,2,0.3,3
86,586,"men",2.6,NA,3.5,1.6,0.4,3.5
87,587,"men",1.6,0.2,4.5,2.8,0.8888889,2
88,588,"men",1.4,0.2,4,2.2,0.9,4.5
89,589,"men",2,0.9,2.5,3.2,0.7,3
90,590,"men",1.4,0.2,4,2.2,0.9,4
91,591,"men",3,1,3.5,2.2,0.4,5
92,592,"men",1,0.3,3,2,0.1,2.5
94,594,"men",2.6,0.1,3.5,2.8,1.1,4
96,596,"men",1.6,0.1,4,2,0.3,4
97,597,"men",2.4,0.7,1,2.4,1,3
98,598,"men",1.6,0.2,5,1.4,0.1,4.5
99,599,"men",1.6,0.3333333,3,1.8,0,4
100,600,"men",0,0,4,3.4,1.3,4
101,601,"men",1.4,0,4,4.4,0.5,2.5
102,602,"men",5,NA,2.5,NA,0,3.5
103,603,"men",3.4,0.8,2.5,1.8,0.4,5
104,604,"men",0.8,0.2,4.5,NA,0.2,5
105,605,"men",1.2,0.1,5,1.8,0.1,5
106,606,"men",1.6,0,5,2.2,0.3,4.5
108,608,"men",2.6,0,5,2.8,NA,NA
110,610,"men",2,0.1,4.5,2.2,0.1,3.5
