"Person","time","obs","empathy","conflict","obsZ","var","varId"
1,1,8.788595,3,1.6,-0.234832482435386,1,1
1,2,7.184553,3,1.6,-0.619466958666701,1,1
1,3,7.13945,3,1.6,-0.630282242045479,1,1
1,4,8.524625,3,1.6,-0.298130053627898,1,1
1,5,11.47801,3,1.6,0.410064427928334,1,1
1,6,13.56986,3,1.6,0.911670763114369,1,1
1,7,10.77828,3,1.6,0.242275628100563,1,1
1,8,9.350462,3,1.6,-0.100101958386352,1,1
1,9,9.702819,3,1.6,-0.0156099998581852,1,1
1,10,8.954727,3,1.6,-0.194995561204358,1,1
1,11,8.786957,3,1.6,-0.235225259726795,1,1
1,12,8.420795,3,1.6,-0.32302752992035,1,1
1,13,8.101044,3,1.6,-0.399700870399864,1,1
1,14,10.22315,3,1.6,0.109160574510763,1,1
1,15,11.20685,3,1.6,0.345042761054971,1,1
1,16,11.0315,3,1.6,0.302995448448966,1,1
1,17,11.33117,3,1.6,0.374853550351684,1,1
1,18,11.99411,3,1.6,0.533820447523197,1,1
1,19,11.01499,3,1.6,0.299036502733967,1,1
1,20,9.672873,3,1.6,-0.022790774442157,1,1
1,21,8.841527,3,1.6,-0.222139877069768,1,1
1,22,10.38926,3,1.6,0.148992220344715,1,1
1,23,10.22742,3,1.6,0.110184481125121,1,1
1,24,9.72031,3,1.6,-0.0114158193917375,1,1
1,25,8.992454,3,1.6,-0.185948974590803,1,1
1,26,8.190072,3,1.6,-0.378352777176668,1,1
1,27,9.174187,3,1.6,-0.142371077460338,1,1
1,28,9.965728,3,1.6,0.0474331533207833,1,1
1,29,9.709022,3,1.6,-0.0141225776734403,1,1
1,30,9.801585,3,1.6,0.00807317594360915,1,1
1,31,9.811755,3,1.6,0.0105118481375247,1,1
1,32,9.564396,3,1.6,-0.0488025584715926,1,1
1,33,11.2405,3,1.6,0.353111720673974,1,1
1,34,12.11825,3,1.6,0.563588074480194,1,1
1,35,11.51635,3,1.6,0.419258006287697,1,1
1,36,10.61087,3,1.6,0.202132254257556,1,1
1,37,10.1171,3,1.6,0.0837307626951555,1,1
1,38,10.43488,3,1.6,0.159931475554786,1,1
1,39,11.20147,3,1.6,0.343752686679036,1,1
1,40,10.99856,3,1.6,0.295096740281063,1,1
1,41,10.22498,3,1.6,0.109599391631202,1,1
1,42,9.576866,3,1.6,-0.0458123674924258,1,1
1,43,8.566485,3,1.6,-0.288092411736325,1,1
1,44,7.613098,3,1.6,-0.516705820481698,1,1
1,45,7.677156,3,1.6,-0.501345302940121,1,1
1,46,9.245338,3,1.6,-0.125309723943202,1,1
1,47,9.099087,3,1.6,-0.160379364752673,1,1
1,48,9.506826,3,1.6,-0.0626073134572082,1,1
1,49,8.931849,3,1.6,-0.200481494582175,1,1
1,50,8.279527,3,1.6,-0.356902293292036,1,1
1,51,8.025247,3,1.6,-0.417876291863208,1,1
1,52,7.444457,3,1.6,-0.557144376770202,1,1
1,53,8.17118,3,1.6,-0.382882904520567,1,1
1,54,8.346615,3,1.6,-0.340815209698585,1,1
1,55,9.522244,3,1.6,-0.058910219269815,1,1
1,56,9.969691,3,1.6,0.0483834441668486,1,1
1,57,11.16272,3,1.6,0.334460794101433,1,1
1,58,11.45153,3,1.6,0.403714768174659,1,1
1,59,9.875194,3,1.6,0.025723935188636,1,1
1,60,9.475053,3,1.6,-0.0702261857892902,1,1
1,61,9.032111,3,1.6,-0.17643959177919,1,1
1,62,8.196022,3,1.6,-0.376926022058301,1,1
1,63,6.980277,3,1.6,-0.668450459264957,1,1
1,64,6.917215,3,1.6,-0.683572145193443,1,1
1,65,7.307367,3,1.6,-0.59001729427894,1,1
1,66,7.50674,3,1.6,-0.542209487856374,1,1
1,67,6.31551,3,1.6,-0.827855454184581,1,1
1,68,6.42101,3,1.6,-0.802557527295881,1,1
1,69,7.766205,3,1.6,-0.479992174110625,1,1
1,70,15.44604,3,1.6,1.36156142159817,1,1
1,71,15.29305,3,1.6,1.32487583074791,1,1
1,72,12.2086,3,1.6,0.585253171109521,1,1
1,73,8.901896,3,1.6,-0.207663947701579,1,1
1,74,7.278196,3,1.6,-0.59701223101136,1,1
1,75,8.943098,3,1.6,-0.197784088140743,1,1
1,76,9.322386,3,1.6,-0.106834324218837,1,1
1,77,8.46189,3,1.6,-0.313173327972567,1,1
1,78,7.764704,3,1.6,-0.480352100065696,1,1
1,79,11.84924,3,1.6,0.499081957775652,1,1
1,80,10.87178,3,1.6,0.264696065674908,1,1
