"DYAD","DAY","f_ARGUE","f_CLOSE","m_ARGUE","m_CLOSE","f_hb","m_hb"
159,1,0,3,0,3,-1,-1
159,2,0,3,0,3,-1,-1
159,3,0,3,0,3,-2,-2
159,4,0,3,0,3,-1,-1
159,5,0,3,0,3,0,0
159,6,1,3,1,2,-3,-3
159,7,1,3,1,2,-1,-1
160,1,0,3,0,3,0,0
160,2,0,3,0,3,0,-1
160,3,0,3,0,2,0,-2
160,4,0,3,0,3,0,0
160,5,0,3,0,3,0,0
160,6,1,3,0,2,0,0
160,7,1,3,0,3,-1,-1
161,1,0,3,0,2,0,0
161,2,0,3,0,3,0,0
161,3,0,3,0,3,0,0
161,4,1,3,1,3,0,0
161,5,0,3,0,3,0,-2
161,6,0,3,0,3,0,0
161,7,0,3,0,3,-1,-3
162,1,0,3,0,3,-1,-2
162,2,0,3,0,3,0,0
162,3,1,3,1,3,0,0
162,4,1,3,1,3,-1,-1
162,5,1,3,1,2,0,0
162,6,1,3,1,3,1,-1
162,7,0,3,0,3,0,0
163,1,0,3,0,3,0,-1
163,2,1,3,1,3,0,0
163,3,0,3,0,3,-3,0
163,4,0,3,0,2,0,0
163,5,0,3,0,3,0,0
163,6,1,2,1,3,-3,-1
163,7,0,2,0,3,0,0
164,1,1,3,1,2,0,-2
164,2,1,3,0,3,0,-2
164,3,1,3,1,3,0,0
164,4,0,3,0,2,-2,0
164,5,2,3,2,3,-1,0
164,6,0,3,0,2,0,-1
164,7,1,3,1,3,0,0
165,1,0,3,0,3,-2,0
165,2,0,3,0,2,0,-1
165,3,0,3,0,3,-2,-1
165,4,0,2,0,3,-1,0
165,5,0,2,0,3,0,-2
165,6,0,2,0,3,0,-3
165,7,0,3,0,3,-1,-1
166,1,0,3,0,3,0,-2
166,2,0,3,0,2,0,0
166,3,1,3,1,2,-2,-2
166,4,0,3,0,2,-1,-1
166,5,1,3,1,2,0,0
166,6,0,3,0,2,0,0
166,7,0,3,0,2,0,0
167,1,0,2,0,3,0,0
167,2,0,3,0,3,3,1
167,3,1,3,1,3,3,0
167,4,0,2,0,3,-1,-2
167,5,0,2,0,3,0,-1
167,6,0,3,0,3,1,1
167,7,0,2,0,3,0,-1
168,1,0,2,0,2,1,-1
168,2,0,2,0,3,-1,0
168,3,0,2,0,3,1,-2
168,4,0,3,0,3,-3,0
168,5,0,2,0,3,-1,0
168,6,0,2,0,2,2,-2
168,7,0,2,0,2,0,1
169,1,0,3,0,3,0,0
169,2,0,3,0,3,-2,0
169,3,0,3,0,3,-1,0
169,4,0,3,0,3,1,0
169,5,0,3,0,3,-1,0
169,6,0,3,0,3,0,0
169,7,0,3,0,3,0,0
170,1,0,3,0,3,0,0
170,2,0,3,0,3,0,1
170,3,0,3,0,3,0,0
170,4,0,3,0,3,0,0
170,5,0,3,0,3,0,0
170,6,0,3,0,3,0,0
170,7,0,3,0,3,0,0
