"DYAD","DAY","f_EATAMNTD","f_EXAMNTD","f_EATHLTHD","f_ARGUE","f_CLOSE","m_EATAMNTD","m_EXAMNTD","m_EATHLTHD","m_ARGUE","m_CLOSE"
113,7,0,0,0,0,2,0,0,0,0,3
114,1,0,0,0,1,3,0,-1,-1,1,2
114,2,0,0,0,1,3,-1,-1,0,0,3
114,3,0,0,0,1,3,0,0,0,1,3
114,4,-1,-1,0,0,3,0,0,0,0,2
114,5,-1,0,0,2,3,-1,0,1,2,3
114,6,0,0,0,0,3,0,0,-1,0,2
114,7,0,0,0,1,3,0,0,0,1,3
115,1,-1,-1,0,0,3,0,0,0,0,3
115,2,0,0,0,0,3,0,-1,0,0,2
115,3,-1,0,-1,0,3,-1,0,0,0,3
115,4,-1,0,0,0,2,0,0,0,0,3
115,5,0,0,0,0,2,0,-1,-1,0,3
115,6,1,0,-1,0,2,-1,-1,-1,0,3
115,7,0,0,-1,0,3,-1,-1,1,0,3
116,1,0,0,0,0,3,0,-1,-1,0,3
116,2,0,0,0,0,3,0,0,0,0,2
116,3,-1,0,-1,1,3,-1,0,-1,1,2
116,4,-1,0,0,0,3,-1,0,0,0,2
116,5,0,0,0,1,3,0,0,0,1,2
116,6,0,0,0,0,3,0,0,0,0,2
116,7,0,0,0,0,3,0,0,0,0,2
117,1,0,0,0,0,2,0,0,0,0,3
117,2,1,1,1,0,3,1,0,0,0,3
117,3,1,1,1,1,3,0,0,0,1,3
117,4,-1,0,0,0,2,-1,-1,0,0,3
117,5,0,0,0,0,2,0,0,-1,0,3
117,6,1,0,0,0,3,0,0,1,0,3
117,7,0,0,0,0,2,-1,0,0,0,3
118,1,1,0,0,0,2,-1,0,0,0,2
118,2,-1,0,0,0,2,0,0,0,0,3
118,3,1,0,0,0,2,-1,-1,0,0,3
118,4,-1,-1,-1,0,3,0,0,0,0,3
118,5,-1,0,0,0,2,0,0,0,0,3
118,6,1,1,0,0,2,-1,-1,0,0,2
118,7,0,0,0,0,2,1,0,0,0,2
119,1,0,0,0,0,3,0,0,0,0,3
119,2,0,-1,-1,0,3,0,0,0,0,3
119,3,-1,0,0,0,3,0,0,0,0,3
119,4,1,0,0,0,3,0,0,0,0,3
119,5,-1,0,0,0,3,0,0,0,0,3
119,6,0,0,0,0,3,0,0,0,0,3
119,7,0,0,0,0,3,0,0,0,0,3
120,1,0,0,0,0,3,0,0,0,0,3
120,2,0,0,0,0,3,0,1,0,0,3
120,3,0,0,0,0,3,0,0,0,0,3
120,4,0,0,0,0,3,0,0,0,0,3
120,5,0,0,0,0,3,0,0,0,0,3
120,6,0,0,0,0,3,1,-1,0,0,3
120,7,0,0,0,0,3,0,0,0,0,3
121,1,1,-1,0,1,3,0,0,0,0,3
121,2,0,-1,0,1,3,0,0,0,1,3
121,3,-1,0,0,1,3,0,0,0,1,3
121,4,0,0,0,0,3,0,0,0,0,3
121,5,-1,-1,-1,0,3,0,0,0,1,3
121,6,0,-1,0,0,3,0,0,0,0,3
121,7,-1,-1,0,1,3,0,-1,0,0,3
122,1,0,-1,0,0,3,0,0,0,3,0
122,2,0,-1,0,0,3,0,0,-1,2,1
122,3,1,1,0,1,3,0,0,0,0,2
122,4,0,0,0,0,3,0,0,0,0,1
122,5,0,0,0,0,3,1,1,1,1,1
122,6,-1,1,-1,1,2,-1,1,-1,0,2
122,7,0,0,0,1,2,-1,0,0,1,1
123,1,-1,1,1,1,3,-1,0,1,1,2
123,2,0,1,0,1,2,0,1,-1,3,1
123,3,0,0,0,1,2,-1,1,-1,2,3
123,4,0,1,1,1,2,-1,-1,-1,2,1
123,5,-1,-1,-1,2,2,-1,0,-1,1,2
123,6,0,1,1,1,1,-1,1,1,1,1
123,7,0,1,0,2,1,-1,1,1,2,2
124,1,0,-1,-1,1,3,-1,-1,0,2,2
