"DYAD","DAY","f_EATAMNTD","f_EXAMNTD","f_EATHLTHD","f_ARGUE","f_CLOSE","m_EATAMNTD","m_EXAMNTD","m_EATHLTHD","m_ARGUE","m_CLOSE"
8,5,NA,NA,NA,NA,NA,0,1,0,0,3
8,6,-1,1,0,0,2,0,0,0,1,3
8,7,NA,NA,NA,NA,NA,0,0,0,0,3
10,1,0,0,0,1,3,0,NA,0,0,3
10,2,NA,NA,NA,NA,NA,0,0,0,2,3
10,3,0,0,0,0,3,0,0,0,0,3
10,4,0,0,-1,1,3,0,0,0,1,3
10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,6,0,0,0,4,3,1,0,0,3,2
10,7,NA,NA,NA,NA,NA,-1,0,0,4,1
12,1,-1,0,0,0,3,0,0,0,0,3
12,2,0,0,0,1,3,NA,NA,NA,NA,NA
12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,4,0,-1,0,2,2,1,0,0,0,3
12,5,1,-1,0,0,3,1,1,0,0,3
12,6,0,0,0,0,3,NA,NA,NA,NA,NA
13,1,-1,-1,0,0,3,0,0,0,0,3
13,2,0,0,-1,0,3,0,0,0,0,3
13,3,-1,-1,0,1,2,0,0,-1,1,3
13,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,5,-1,-1,-1,1,3,0,-1,0,1,3
14,1,-1,0,1,1,1,0,0,NA,1,0
14,2,-1,0,1,2,1,0,0,NA,1,1
14,3,-1,0,-1,0,1,0,0,NA,1,1
14,4,0,0,0,1,2,0,0,NA,0,1
14,5,1,0,-1,1,2,NA,NA,NA,NA,NA
14,6,-1,1,0,2,2,0,-1,0,0,3
15,1,-1,-1,-1,1,3,0,0,0,0,3
15,2,0,0,-1,1,3,NA,NA,NA,NA,NA
15,3,0,0,0,0,3,-1,0,0,0,3
15,4,1,-1,-1,0,3,1,-1,-1,0,3
15,5,0,0,0,0,3,-1,-1,-1,0,3
15,6,0,0,0,0,3,0,-1,0,0,3
15,7,0,-1,-1,0,3,0,1,1,0,3
17,1,0,-1,0,1,2,0,1,1,1,2
17,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,3,0,-1,-1,0,2,-1,-1,1,0,3
17,4,-1,1,0,0,3,-1,-1,-1,0,3
17,5,-1,1,-1,3,2,-1,0,0,4,0
17,6,-1,1,-1,2,3,0,1,-1,3,1
18,1,-1,0,0,0,3,0,0,0,0,3
18,2,NA,NA,NA,NA,NA,0,0,0,3,3
18,3,0,0,-1,0,3,0,0,-1,0,3
18,4,-1,1,0,0,3,0,0,0,0,3
18,5,NA,NA,NA,NA,NA,0,0,0,NA,NA
18,6,-1,0,0,0,2,0,0,0,0,3
18,7,0,0,0,0,3,NA,NA,NA,NA,NA
19,1,-1,0,0,0,1,1,-1,0,0,1
19,2,-1,0,1,0,1,-1,-1,0,0,1
19,3,NA,NA,NA,NA,NA,0,0,0,0,1
19,4,0,0,0,0,1,NA,NA,NA,NA,NA
21,1,0,0,0,0,3,0,0,0,0,3
21,2,0,0,0,0,3,0,0,0,0,3
21,3,NA,NA,NA,NA,NA,0,0,-1,0,3
21,4,0,0,0,0,3,0,0,0,0,3
21,5,0,0,0,0,3,0,0,0,0,3
21,6,-1,0,-1,0,3,-1,0,NA,0,3
23,1,0,0,0,0,3,1,0,-1,0,3
23,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,3,1,0,-1,1,3,0,0,0,0,3
23,4,1,-1,-1,1,3,0,0,0,1,3
23,5,-1,-1,0,1,3,0,0,0,4,0
23,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,7,-1,-1,-1,2,3,-1,-1,0,0,3
24,1,0,0,0,4,3,0,-1,0,0,0
24,2,-1,0,-1,0,3,NA,NA,NA,NA,NA
24,3,1,0,1,0,3,-1,1,1,0,1
24,4,1,0,-1,2,3,0,0,0,2,2
24,5,1,-1,-1,1,3,-1,1,0,1,2
24,6,1,-1,1,0,3,1,-1,0,3,3
24,7,NA,NA,NA,NA,NA,1,1,0,1,3
25,1,-1,1,1,0,3,0,0,0,3,3
25,2,0,-1,0,0,3,-1,-1,0,1,3
25,3,-1,1,0,1,0,-1,1,0,0,3
25,4,0,-1,0,0,3,NA,NA,NA,NA,NA
25,5,1,-1,0,0,3,0,1,0,0,3
25,6,1,-1,0,0,3,-1,1,1,0,3
25,7,1,-1,0,0,3,0,-1,0,0,3
26,1,-1,-1,0,4,3,-1,0,0,0,3
26,2,NA,NA,NA,NA,NA,0,0,0,0,2
26,3,-1,0,NA,0,3,-1,-1,0,1,3
26,4,-1,1,NA,0,2,NA,NA,NA,NA,NA
26,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,6,1,0,1,0,2,-1,0,0,0,3
28,1,-1,-1,1,1,3,0,-1,0,1,3
28,2,-1,1,1,0,3,-1,0,1,0,3
28,3,-1,1,0,2,2,-1,0,0,2,2
28,4,0,1,0,0,3,0,0,1,0,3
28,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,6,-1,-1,0,0,3,1,-1,0,0,3
28,7,0,0,0,1,3,1,-1,0,1,3
30,1,0,-1,-1,0,1,0,0,0,0,2
30,2,1,-1,0,0,2,1,0,-1,0,2
30,3,0,-1,-1,NA,1,1,1,-1,0,3
30,4,NA,NA,NA,NA,NA,0,-1,0,0,2
30,5,-1,-1,0,0,2,NA,NA,NA,NA,NA
30,6,-1,-1,0,0,2,0,0,-1,3,2
32,1,0,-1,0,3,0,0,-1,0,2,1
32,2,0,0,0,1,1,0,-1,-1,1,1
32,3,0,-1,0,0,2,0,0,0,0,3
32,4,0,0,0,0,2,-1,-1,0,0,3
32,5,0,-1,-1,0,1,-1,-1,0,0,2
32,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,7,0,-1,0,0,0,0,-1,-1,0,2
38,1,0,0,-1,3,2,0,-1,-1,NA,NA
38,2,-1,0,-1,0,3,-1,-1,0,1,3
38,3,-1,0,-1,0,3,-1,1,-1,1,3
38,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,5,1,0,-1,0,3,0,-1,0,0,3
38,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,7,1,0,-1,0,3,-1,-1,-1,0,3
40,1,0,0,0,2,2,0,0,0,1,2
40,2,0,0,0,2,2,0,0,0,1,2
40,3,0,0,0,1,2,0,0,0,1,2
40,4,0,0,0,1,2,0,0,0,1,2
40,5,0,0,0,0,2,-1,0,0,0,2
40,6,0,0,0,0,2,0,0,0,1,2
41,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,2,0,0,0,1,3,1,1,0,1,3
41,3,0,0,0,0,3,0,-1,0,0,3
41,4,0,0,0,0,3,-1,0,0,0,3
41,5,0,0,0,0,3,1,-1,0,0,2
41,6,0,0,0,1,3,0,0,0,2,3
41,7,0,0,0,4,0,0,0,-1,2,2
46,1,1,0,1,0,3,0,0,1,0,2
46,2,1,0,1,0,3,0,0,-1,0,2
46,3,1,1,1,0,3,0,1,0,0,1
46,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,5,0,0,1,1,2,0,-1,1,0,2
46,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,7,0,0,0,0,2,-1,-1,1,1,2
50,1,-1,0,0,0,3,0,0,0,0,3
50,2,-1,-1,0,0,2,1,0,-1,0,2
50,3,0,-1,0,0,3,0,0,0,0,3
50,4,0,0,0,0,3,0,0,1,0,3
50,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,6,1,0,0,0,3,1,0,0,0,3
50,7,0,-1,0,0,3,0,-1,0,0,3
51,1,0,0,-1,0,1,0,0,0,0,2
51,2,0,0,0,0,1,0,1,1,0,2
51,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,4,-1,0,1,1,1,-1,0,1,1,1
51,5,-1,1,1,0,1,NA,0,1,0,1
51,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,7,-1,1,1,0,1,NA,0,0,0,1
54,1,0,0,0,0,3,-1,0,0,0,3
54,2,0,0,-1,0,3,1,0,0,0,3
54,3,1,-1,0,0,3,0,1,0,0,3
54,4,1,0,0,0,3,0,-1,0,0,3
54,5,-1,-1,0,2,3,0,-1,0,2,2
54,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,7,-1,-1,0,0,3,0,-1,1,0,3
60,1,0,0,0,0,2,1,-1,-1,0,1
60,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,3,0,0,0,2,2,0,1,0,2,2
60,4,0,0,0,4,0,-1,1,-1,4,0
60,5,0,0,-1,2,2,0,1,0,3,1
60,6,0,0,0,0,2,-1,-1,0,0,2
60,7,-1,0,0,0,2,-1,-1,-1,0,2
61,1,-1,-1,0,0,2,0,0,0,0,2
61,2,-1,0,0,0,1,0,0,-1,0,1
61,3,0,-1,0,0,2,0,0,0,0,2
61,4,0,0,0,0,2,0,0,0,0,2
61,6,0,0,0,1,2,0,1,0,1,2
61,7,1,1,0,0,3,1,1,0,0,3
64,1,-1,-1,0,0,3,-1,-1,0,0,3
64,2,-1,-1,0,0,2,1,-1,0,0,2
64,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,4,0,0,0,3,2,0,0,0,0,3
64,5,1,1,-1,1,3,0,0,-1,0,3
64,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,7,0,-1,-1,1,3,0,-1,-1,0,3
66,1,0,0,0,1,3,0,0,0,1,3
66,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,3,-1,0,NA,0,3,0,-1,0,0,3
66,4,1,1,-1,0,3,0,0,0,0,2
66,5,-1,-1,-1,NA,3,0,1,1,0,3
66,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,7,0,1,0,2,3,0,1,0,0,3
68,1,0,0,0,0,2,0,-1,0,0,3
68,2,1,-1,0,0,2,1,1,0,0,3
68,3,0,0,0,1,2,0,-1,-1,0,3
68,4,0,-1,0,0,2,0,0,0,0,3
68,5,1,0,0,0,2,1,1,0,0,3
68,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,7,0,0,0,2,2,0,-1,-1,0,3
68,8,0,0,0,0,2,1,-1,-1,0,3
70,1,0,1,-1,1,2,1,-1,NA,2,3
70,2,1,1,-1,1,3,0,1,-1,2,2
70,3,0,0,0,0,2,1,1,1,0,2
71,1,0,-1,0,1,2,-1,0,0,1,2
71,2,0,0,0,1,3,1,-1,-1,2,3
71,3,0,0,1,0,3,-1,-1,0,1,3
71,4,0,-1,0,2,3,1,1,1,1,3
71,5,-1,-1,0,1,2,-1,-1,0,1,2
71,6,0,1,1,0,3,0,1,1,0,3
71,7,-1,0,-1,0,3,-1,0,-1,1,3
72,1,0,1,0,1,2,1,0,0,2,2
72,2,0,1,1,1,2,0,-1,0,2,3
72,3,-1,1,-1,0,3,0,1,-1,0,2
72,4,-1,-1,-1,2,1,-1,-1,0,2,2
72,5,-1,0,0,0,2,-1,0,0,0,2
72,6,1,-1,-1,0,2,1,0,-1,0,2
72,7,-1,-1,0,2,2,0,0,-1,1,2
73,1,0,1,0,2,1,0,0,0,0,3
73,2,-1,-1,-1,3,1,0,0,0,0,3
73,3,-1,1,0,1,1,-1,0,-1,0,3
73,4,1,1,1,0,2,-1,0,1,0,2
73,5,0,0,-1,1,1,0,0,0,0,3
73,6,-1,-1,-1,1,0,0,0,0,1,2
73,7,1,0,0,2,1,1,1,0,0,3
74,1,-1,0,0,2,1,-1,-1,0,1,2
74,2,-1,0,0,2,3,-1,0,0,1,1
74,3,-1,0,0,1,1,-1,-1,-1,1,2
74,4,0,0,0,1,2,-1,-1,-1,2,2
74,5,-1,0,0,2,2,-1,0,0,2,2
74,6,-1,0,0,2,2,-1,0,0,1,2
74,7,-1,0,0,1,2,-1,0,0,1,2
75,1,0,1,0,0,2,0,-1,0,2,3
75,2,-1,-1,0,1,1,1,0,-1,1,3
75,3,0,-1,1,0,3,1,-1,1,2,2
75,4,0,0,1,0,2,-1,0,1,3,2
75,5,-1,-1,0,0,2,0,0,0,2,1
75,6,0,0,0,0,2,-1,1,-1,3,2
75,7,0,-1,0,0,3,0,0,0,1,3
76,1,0,0,0,0,2,0,0,0,0,2
76,2,0,0,0,0,2,0,0,0,0,2
76,3,0,0,0,2,2,0,0,0,1,2
76,4,0,0,0,0,2,1,0,0,0,2
76,5,0,0,0,0,2,0,1,-1,0,2
76,6,0,-1,0,0,2,0,0,0,0,2
76,7,-1,1,0,0,2,0,0,0,1,2
77,1,0,0,0,0,3,0,0,0,0,3
77,2,0,0,0,0,3,0,0,0,0,3
77,3,0,0,0,0,3,0,0,0,0,3
77,4,0,0,0,0,3,0,0,0,0,3
77,5,-1,0,0,0,3,0,0,0,1,3
77,6,0,0,0,0,3,0,0,0,0,3
77,7,0,0,0,0,3,0,0,0,0,3
78,1,0,0,0,0,3,0,0,0,0,3
78,2,0,0,0,0,3,0,0,0,0,3
78,3,0,0,0,0,3,0,0,0,0,3
78,4,0,0,0,0,3,0,0,0,0,3
78,5,0,0,0,0,3,0,0,0,0,3
78,6,0,0,0,0,3,0,0,0,0,3
78,7,0,0,0,0,3,0,0,0,0,3
79,1,0,0,0,0,3,1,-1,0,0,2
79,2,0,0,0,1,3,0,0,0,0,2
79,3,0,0,0,1,3,1,-1,0,0,2
79,4,0,-1,-1,1,3,0,0,0,0,1
79,5,0,0,0,1,3,1,-1,-1,2,2
79,6,0,0,0,1,3,0,0,0,1,2
79,7,-1,-1,1,1,3,0,0,0,0,2
80,1,0,0,0,0,2,0,0,0,0,2
80,2,0,0,0,1,2,0,0,0,1,2
80,3,0,0,0,2,2,0,0,0,1,2
80,4,0,0,0,0,2,-1,-1,0,0,2
80,5,0,0,0,2,2,0,0,0,2,2
80,6,0,1,0,2,2,0,0,0,2,2
80,7,0,0,0,0,2,0,0,0,0,2
81,1,0,0,0,0,3,0,0,0,0,3
81,2,0,0,0,0,3,0,0,0,0,3
81,3,0,0,0,0,3,0,0,0,0,3
81,4,0,0,0,0,3,-1,1,0,0,3
81,5,0,0,0,2,3,0,0,0,1,3
81,6,0,0,0,2,3,0,0,0,1,3
81,7,0,0,0,0,3,0,0,0,0,3
82,1,0,0,0,0,3,0,0,0,0,3
82,2,0,0,0,0,3,0,0,0,0,3
82,3,0,0,0,0,3,0,0,0,0,3
82,4,0,0,0,0,3,-1,0,0,0,3
82,5,0,0,0,0,3,0,1,0,0,3
82,6,0,0,0,0,3,0,-1,0,0,3
82,7,0,0,0,0,3,-1,0,0,0,3
83,1,0,1,0,0,3,0,0,0,0,3
83,2,0,0,1,0,2,0,0,0,1,3
83,3,0,0,0,1,3,1,1,1,2,3
83,4,-1,0,0,2,3,1,0,0,3,2
83,5,0,1,0,1,2,1,1,0,0,3
83,6,1,1,1,0,3,0,1,0,0,2
83,7,0,0,0,0,3,0,1,0,1,3
84,1,0,1,0,0,3,0,0,0,0,3
84,2,0,0,1,0,2,0,0,0,1,3
84,3,0,0,0,1,3,1,1,1,2,3
84,4,-1,0,0,2,3,1,0,0,3,2
84,5,0,1,0,1,2,1,1,0,0,3
84,6,1,1,1,0,3,0,1,0,0,2
84,7,0,0,0,0,3,0,1,0,1,3
85,1,1,-1,0,1,3,0,0,0,0,3
85,2,0,-1,0,0,0,0,0,0,0,3
85,3,-1,1,0,0,1,-1,0,0,0,3
85,4,1,-1,-1,2,3,1,0,1,0,2
85,5,-1,1,0,0,2,-1,1,1,0,1
85,6,0,0,0,1,1,-1,0,1,0,1
85,7,-1,-1,-1,4,3,1,-1,-1,0,3
86,1,0,0,0,0,3,0,0,0,0,3
86,2,0,0,0,1,3,0,0,0,1,3
86,3,0,1,0,0,3,0,1,0,0,3
86,4,0,0,0,0,3,0,0,0,0,3
86,5,0,0,0,0,3,0,0,0,0,3
86,6,0,0,0,0,2,0,0,0,0,3
86,7,0,0,0,0,3,0,0,0,1,3
87,1,0,0,0,0,3,0,0,0,0,3
87,2,0,1,0,0,3,1,0,0,0,3
87,3,0,0,0,1,3,-1,0,0,1,3
87,4,0,0,0,1,3,0,-1,0,1,3
87,5,0,1,0,1,3,0,0,0,1,3
87,6,0,0,0,1,3,0,0,0,1,3
87,7,0,1,0,1,3,0,-1,-1,1,2
88,1,0,0,0,0,3,0,0,0,0,3
88,2,0,1,0,1,3,0,0,0,1,3
88,3,0,0,0,0,3,0,0,0,0,3
88,4,0,0,0,0,3,-1,0,0,0,3
88,5,0,0,0,0,3,0,1,0,0,3
88,6,0,0,0,0,3,0,0,0,1,3
88,7,0,1,0,1,3,0,0,0,1,3
89,1,0,1,0,0,3,0,1,0,0,3
89,2,0,0,0,0,3,0,1,0,0,3
89,3,0,0,0,0,3,0,0,0,0,3
89,4,0,0,0,1,3,0,1,0,1,3
89,5,0,0,0,1,3,0,0,0,1,3
89,6,0,0,0,0,2,0,0,0,0,3
89,7,0,0,0,0,2,0,0,0,0,3
90,1,0,0,0,0,2,0,0,0,0,2
90,2,0,0,0,0,2,0,0,0,0,2
90,3,0,0,0,0,2,-1,0,0,0,2
90,4,-1,-1,0,0,2,1,1,1,0,0
90,5,0,1,-1,0,2,0,0,0,0,2
90,6,0,0,0,0,2,0,0,0,0,2
90,7,0,0,0,0,2,0,0,0,0,2
91,1,-1,-1,-1,2,3,0,-1,0,1,3
91,2,-1,-1,0,2,3,-1,0,0,2,2
91,3,-1,-1,-1,1,3,0,0,0,2,2
91,4,-1,-1,-1,1,2,0,0,0,1,3
91,5,-1,-1,-1,1,3,0,0,0,4,3
91,6,-1,0,-1,0,3,0,0,0,0,3
91,7,NA,NA,NA,NA,NA,-1,-1,0,2,3
92,1,0,0,0,2,2,0,0,0,3,2
92,2,0,0,0,3,2,0,0,0,3,1
92,3,0,-1,0,3,2,0,0,0,3,2
92,4,-1,0,-1,3,2,-1,0,-1,3,3
92,5,1,0,1,2,2,1,1,1,2,2
92,6,0,0,0,2,2,0,0,0,2,2
92,7,-1,-1,-1,2,3,-1,-1,-1,2,2
93,1,0,0,0,0,3,0,0,0,0,3
93,2,0,0,0,0,3,0,0,0,0,3
93,3,0,0,0,0,3,0,0,0,0,3
93,4,0,0,0,0,3,0,0,0,0,3
93,5,0,0,1,0,3,-1,0,0,0,3
93,6,0,0,0,0,3,0,0,0,0,3
93,7,0,0,0,0,3,0,0,0,0,3
94,1,0,1,0,1,3,-1,-1,0,0,3
94,2,1,1,0,1,2,1,0,0,0,3
94,3,-1,1,-1,0,2,0,-1,0,0,3
94,4,-1,1,0,3,0,0,0,0,0,2
94,5,0,0,1,1,2,0,0,0,0,2
94,6,1,1,1,0,3,0,0,0,0,2
94,7,-1,-1,-1,0,2,0,0,0,0,2
95,1,-1,0,0,3,2,0,0,0,2,2
95,2,0,0,-1,2,3,-1,-1,-1,0,2
95,3,1,1,0,4,2,-1,-1,0,0,2
95,4,-1,-1,0,3,1,-1,-1,-1,1,0
95,5,0,0,0,3,2,-1,-1,1,3,2
95,6,-1,-1,0,3,3,0,0,0,2,2
95,7,0,0,0,4,3,-1,0,-1,2,3
96,1,-1,-1,-1,2,0,-1,-1,-1,2,1
96,2,-1,-1,-1,1,1,-1,-1,-1,3,0
96,3,-1,-1,-1,1,1,-1,-1,-1,1,1
